district,blood_group,observations,average_stock,median_stock,total_units,stockout_percentage,low_stock_percentage
Mumbai Suburban,AB-,24,0.625,0.0,15.0,54.166666666666664,45.83333333333333
Mumbai Suburban,B+,24,55.083333333333336,47.5,1322.0,0.0,4.166666666666666
Mumbai Suburban,B-,24,1.0416666666666667,1.0,25.0,37.5,62.5
Mumbai Suburban,O+,24,105.75,104.0,2538.0,0.0,0.0
Mumbai Suburban,O-,24,1.2916666666666667,0.5,31.0,50.0,50.0
Nagpur,A+,432,18.38888888888889,12.0,7944.0,16.203703703703702,21.296296296296298
Nagpur,A-,432,0.9143518518518519,1.0,395.0,48.379629629629626,49.76851851851852
Nagpur,AB+,432,11.564814814814815,5.5,4996.0,17.59259259259259,32.407407407407405
Nagpur,AB-,432,1.0578703703703705,1.0,457.0,40.27777777777778,59.72222222222222
Nagpur,B+,432,33.03703703703704,18.0,14272.0,13.194444444444445,18.98148148148148
Nagpur,B-,432,2.136574074074074,2.0,923.0,24.305555555555554,68.05555555555556
Nagpur,O+,432,38.157407407407405,20.0,16484.0,13.425925925925927,15.046296296296296
Nagpur,O-,432,4.782407407407407,1.0,2066.0,36.342592592592595,56.25
Nanded,A+,241,41.0746887966805,31.0,9899.0,7.053941908713693,5.394190871369295
Nanded,A-,241,2.3692946058091287,2.0,571.0,31.12033195020747,56.016597510373444
Nanded,AB+,241,17.269709543568464,10.0,4162.0,6.224066390041494,21.57676348547718
Nanded,AB-,241,0.5477178423236515,0.0,132.0,60.99585062240664,39.004149377593365
Nanded,B+,241,37.780082987551864,18.0,9105.0,1.6597510373443984,20.74688796680498
Nanded,B-,241,2.145228215767635,1.0,517.0,43.56846473029046,46.88796680497925
Nanded,O+,241,54.65145228215768,42.0,13171.0,1.6597510373443984,9.12863070539419
Nanded,O-,241,1.933609958506224,0.0,466.0,50.20746887966805,39.83402489626556
Nandurbar,A+,72,403.56944444444446,20.0,29057.0,11.11111111111111,13.88888888888889
Nandurbar,A-,72,60.125,2.0,4329.0,12.5,54.166666666666664
Nandurbar,AB+,72,122.40277777777777,10.0,8813.0,1.3888888888888888,15.277777777777779
Nandurbar,AB-,72,13.23611111111111,2.0,953.0,27.77777777777778,38.88888888888889
Nandurbar,B+,72,1380.111111111111,38.0,99368.0,0.0,13.88888888888889
Nandurbar,B-,72,22.208333333333332,6.0,1599.0,2.7777777777777777,26.38888888888889
Nandurbar,O+,72,626.5277777777778,59.0,45110.0,2.7777777777777777,13.88888888888889
Nandurbar,O-,72,63.513888888888886,14.0,4573.0,6.944444444444445,25.0
Nashik,A+,479,24.227557411273487,11.0,11605.0,25.052192066805844,16.910229645093946
Nashik,A-,479,2.3089770354906056,1.0,1106.0,48.43423799582464,34.65553235908142
Nashik,AB+,479,11.993736951983298,5.0,5745.0,30.062630480167012,21.50313152400835
Nashik,AB-,479,0.6471816283924844,0.0,310.0,62.21294363256785,37.578288100208766
Nashik,B+,479,26.223382045929018,10.0,12561.0,26.304801670146137,16.075156576200417
Nashik,B-,479,1.8789144050104385,1.0,900.0,46.972860125260965,42.379958246346554
Nashik,O+,479,41.84342379958246,25.0,20043.0,24.4258872651357,2.9227557411273484
Nashik,O-,479,2.755741127348643,1.0,1320.0,40.292275574112736,43.63256784968685
Osmanabad,A+,96,45.510416666666664,25.0,4369.0,0.0,2.083333333333333
Osmanabad,A-,96,3.4895833333333335,1.5,335.0,15.625,52.083333333333336
Osmanabad,AB+,96,20.5,9.0,1968.0,12.5,27.083333333333332
Osmanabad,AB-,96,0.6875,1.0,66.0,43.75,56.25
