requester_code,requester_name,district,city,blood_group,required_units,radius_km,alternative_count,best_distance_km,best_BBRI,best_score,alternative_available
284454,"Bhavar Blood Centre,  Badlapur (E), Taluka Ambernath, Dist. Thane",Thane,Badlapur,A-,5,50,5,0.9444183017218624,21.350231293723475,91.77188440581928,1
284454,"Bhavar Blood Centre,  Badlapur (E), Taluka Ambernath, Dist. Thane",Thane,Badlapur,B+,5,50,5,0.4616542633669835,12.89919072301401,95.1159598362515,1
284454,"Bhavar Blood Centre,  Badlapur (E), Taluka Ambernath, Dist. Thane",Thane,Badlapur,B-,5,50,5,16.098581073231433,5.77049848694194,85.10146067098518,1
284454,"Bhavar Blood Centre,  Badlapur (E), Taluka Ambernath, Dist. Thane",Thane,Badlapur,O+,5,50,5,0.4616542633669835,12.89919072301401,95.1159598362515,1
284454,"Bhavar Blood Centre,  Badlapur (E), Taluka Ambernath, Dist. Thane",Thane,Badlapur,O-,5,50,5,0.4616542633669835,12.89919072301401,95.1159598362515,1
284454,"Bhavar Blood Centre,  Badlapur (E), Taluka Ambernath, Dist. Thane",Thane,Badlapur,AB+,5,50,5,0.4616542633669835,12.89919072301401,95.1159598362515,1
284454,"Bhavar Blood Centre,  Badlapur (E), Taluka Ambernath, Dist. Thane",Thane,Badlapur,AB-,5,50,1,21.55921674775609,13.62867945878348,77.9825887912209,1
18139,Pravara Medical Trusts Blood Centre,Ahmadnagar,Rahata,A+,5,50,2,27.394066764491708,15.851359398917992,72.53677079878534,1
18139,Pravara Medical Trusts Blood Centre,Ahmadnagar,Rahata,A-,5,50,0,,,,0
18139,Pravara Medical Trusts Blood Centre,Ahmadnagar,Rahata,B+,5,50,3,27.394066764491708,15.851359398917992,72.53677079878534,1
18139,Pravara Medical Trusts Blood Centre,Ahmadnagar,Rahata,B-,5,50,1,26.08335100748064,20.56755862014382,71.93467367696516,1
18139,Pravara Medical Trusts Blood Centre,Ahmadnagar,Rahata,O+,5,50,4,21.969716993061287,21.576414960538436,74.87248116936252,1
18139,Pravara Medical Trusts Blood Centre,Ahmadnagar,Rahata,O-,5,50,1,26.08335100748064,20.56755862014382,71.93467367696516,1
18139,Pravara Medical Trusts Blood Centre,Ahmadnagar,Rahata,AB+,5,50,3,27.394066764491708,15.851359398917992,72.53677079878534,1
18139,Pravara Medical Trusts Blood Centre,Ahmadnagar,Rahata,AB-,5,50,0,,,,0
