origin_code,origin_bank,origin_district,blood_group,origin_stock,alternative_code,alternative_bank,alternative_district,alternative_stock,predicted_stockout_probability,alternative_bbri,distance_km,decision_support_score,rank
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18084,Chakan Blood Centre,Pune,55.0,0.0022900816001145572,16.32612036983859,120.853406,46.037524,77
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18072,"Metro Blood Centre,Civil Hospital Aundh Pune",Pune,25.0,0.009926621201619306,18.35209664287552,114.801317,45.989931,78
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18080,Konkan Mitra Mandal Medical TrustS Sahyadri Speaciality Hospital Blood Centre,Pune,25.0,0.0038044596559454066,16.634868566586047,119.191418,45.901084,79
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,284555,M/S. Freedom Foundation Sanchlit Lifeline Blood Centre,Pune,51.0,0.0026113406453346683,32.96271588091786,96.684649,45.890217,80
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,280126,Morya Blood Centre ,Pune,70.0,0.0020076771168060508,24.721050657288572,111.567132,45.732983,81
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18079,Pimpari Serological Institute Blood Centre,Pune,60.0,0.0021605352385293828,25.02689768014983,111.939074,45.532257,82
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,280123,M/S Vidyashree Charitable Trusts Om Blood Centre,Pune,83.0,0.0018600768851414085,20.173646081308018,122.182242,45.342792,83
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18112,"Smbt Institute Of Medical Science And Research Centre, Blood Centre And  Component",Nashik,45.0,0.002482366907541192,11.816091646948271,133.555433,45.154976,84
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18062,Akshay Blood Centre,Pune,198.0,0.001551120876148809,18.945682478993675,133.257339,45.110076,85
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,284448,"Shwas Foundation Poona Blood Centre, Narayangaon, Tal- Junnar, Dist. Pune",Pune,72.0,0.0020628396221835333,21.803767237126824,120.853406,45.094119,86
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18069,Jankalyan Raktapedhi Pune,Pune,37.0,0.00490938763052923,19.36924116558564,122.114419,45.040225,87
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,280125,Red Plus Blood Centre Pune,Pune,95.0,0.016608522690852816,26.242618119952198,115.364733,44.77266,88
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,280535,Jupiter Lifeline Hospital Blood Centre,Pune,37.0,0.0026308013856953293,28.47835705497449,112.275665,44.5872,89
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,280124,M/S Pimpri Chinchwad Blood Centre,Pune,104.0,0.001782242694826432,32.74874847825679,113.040827,44.229474,90
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,284358,"Poona Medical Relief And Research Foundation, Kai Madhukar Sakharam Bidkar  Blood Centre, Pune",Pune,51.0,0.0049322859712218935,25.11553642328639,120.853406,44.179129,91
