hospital_code,blood_bank_name,district,city,area,observations,stockout_frequency,low_stock_frequency,stock_volatility,stockout_score,low_stock_score,volatility_score,BBRI,risk_class,recovery_rate,recovery_score
283260,Samarpit Bahuddeshiya Sevabhavi Sanshta Tarpan Blood Centre,Pune,Pune,Loni Kalbhor,15,0.0583333333333333,0.0666666666666666,18.916257622447844,5.833333333333333,8.16326530612245,3.727386576635389,5.212246304022793,Low Risk,0.96875,3.125
18073,"Grant Medical Foundation,  A.H. Wadia Trust Blood Centre",Pune,Pune,Post Box No,15,0.0416666666666666,0.1083333333333333,8.385079184679977,4.166666666666666,13.26530612244898,1.6522523757506589,4.771056291216577,Low Risk,1.0,0.0
18021,Sir J.J.Mahanagar Rakthapedhi,Mumbai,Mumbai,Byculla,15,0.0,0.125,0.0,0.0,15.306122448979592,0.0,3.826530612244898,Low Risk,1.0,0.0
282670,Pimpri Chinchwad  Municipal CorporationS Y.C.M. Hospital Blood Centre,Pune,Pune,Chinchwad,15,0.025,0.0583333333333333,24.6748431663076,2.5,7.142857142857142,4.862096987383742,3.626238532560221,Low Risk,1.0,0.0
18237,"Dean, Maeer,S Smt.Saraswati Karad Blood Centre",Latur,Latur,Ambajogai,15,0.0083333333333333,0.0,66.04498946078887,0.8333333333333334,0.0,13.013948746290865,3.4618205199060497,Low Risk,1.0,0.0
283259,Sanjeevan Blood Component And Apheresis Centre,Thane,Badlapur,Badlapur,15,0.0416666666666666,0.0,37.33556118003424,4.166666666666667,0.0,7.356849983289693,2.88087916248909,Low Risk,1.0,0.0
18252,"Dean, Govt. Medical College Hospital Blood Centre Aurangabad",Aurangabad,Aurangabad,Jublee Park,15,0.0,0.025,29.025464210649805,0.0,3.0612244897959187,5.719372607349109,2.1951492742862566,Low Risk,1.0,0.0
18110,"Indian Red Cross Society , Sarjubai, Bansila Bajaj Blood Centre",Solapur,Pandharpur,Pandharpur,1,0.125,0.375,,12.5,45.91836734693878,,,,1.0,0.0
18133,M/S Nanded Blood Centre,Nanded,Nanded,Shivaji Nagar,1,0.5,0.25,,50.0,30.612244897959183,,,,1.0,0.0
18191,Blood Line Charitable Blood Centre,Thane,Thane,Thane West,1,0.375,0.25,,37.5,30.612244897959183,,,,1.0,0.0
18233,Pallavi Blood Centre Govandi East,Mumbai,Mumbai,Govandi East,1,0.25,0.25,,25.0,30.612244897959183,,,,1.0,0.0
280144,M/S Sadgurus Charitable Blood Centre,Thane,Navi Mumbai,Kopar Khairane,1,0.25,0.25,,25.0,30.612244897959183,,,,1.0,0.0
280735,Jagiivan Ram Hospital (Western Railway) Blood Centre,Mumbai,Mumbai,Mumbai Central,1,0.0,0.125,,0.0,15.306122448979592,,,,1.0,0.0
283288,Vidyashree Charitable Trust Shiv Shambho Blood Centre,Solapur,Solapur,Solapur,1,0.25,0.25,,25.0,30.612244897959183,,,,1.0,0.0
