blood_group,donor_code,donor_name,recipient_code,recipient_name,distance_km,donor_surplus,recipient_deficit,recommended_units,priority_score
O+,282733,Rotary Blood Centre,18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",117.37128348287743,18,5,5,0.04223997453506751
O+,282601,Symbiosis University Hospital And Research Center Blood Centre Of Symbiosis  Trust,18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",117.37128348287743,79,5,5,0.04223997453506751
O+,283207,Muktai Blood Centre Of Shivpooja Bahuudeshiya Shikhan Prasarak Mandal Solapur,18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",117.37128348287743,64,5,5,0.04223997453506751
O+,280768,Sanjeevani Blood Centre Bhosari,18051,V.N. Desai Municipal General Hospital Blood Centre,117.47862295034841,27,5,5,0.0422017058899763
O+,18137,"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College  Hospital, Blood Bank",18071,Kem Hospital Blood Centre,117.53588622156458,38,5,5,0.042181318749784466
O+,284448,"Shwas Foundation Poona Blood Centre, Narayangaon, Tal- Junnar, Dist. Pune",280738,Superitendent Gokuldas Tejpal Hospital,117.53792393370946,17,5,5,0.042180593636819336
O+,284350,Manipal Hospitals Pvt Ltd Blood Centre,280738,Superitendent Gokuldas Tejpal Hospital,117.53792393370946,6,5,5,0.042180593636819336
O+,283260,Samarpit Bahuddeshiya Sevabhavi Sanshta Tarpan Blood Centre,280738,Superitendent Gokuldas Tejpal Hospital,117.53792393370946,15,5,5,0.042180593636819336
O+,18084,Chakan Blood Centre,280738,Superitendent Gokuldas Tejpal Hospital,117.53792393370946,57,5,5,0.042180593636819336
O+,282733,Rotary Blood Centre,280738,Superitendent Gokuldas Tejpal Hospital,117.53792393370946,18,5,5,0.042180593636819336
O+,282601,Symbiosis University Hospital And Research Center Blood Centre Of Symbiosis  Trust,280738,Superitendent Gokuldas Tejpal Hospital,117.53792393370946,79,5,5,0.042180593636819336
O+,283207,Muktai Blood Centre Of Shivpooja Bahuudeshiya Shikhan Prasarak Mandal Solapur,280738,Superitendent Gokuldas Tejpal Hospital,117.53792393370946,64,5,5,0.042180593636819336
O+,280768,Sanjeevani Blood Centre Bhosari,18038,"K.B.Bhabha Muncipal General Hospital, Blood Centre",117.54724054710422,27,5,5,0.042177278669032134
O+,18078,Noble Charitable Trust S Noble Blood Centre,18196,Ishwar Seva Trusts Dombivali Blood Center,117.58287991444524,105,5,5,0.0421646025430263
O+,27120,Sasoon Blood Centre Pune,18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",117.63658370199008,7,5,5,0.042145515691515374
O+,284448,"Shwas Foundation Poona Blood Centre, Narayangaon, Tal- Junnar, Dist. Pune",18014,Bombay Hospital Trust Blood Centre,117.7061039379861,17,5,5,0.0421208331680406
O+,284350,Manipal Hospitals Pvt Ltd Blood Centre,18014,Bombay Hospital Trust Blood Centre,117.7061039379861,6,5,5,0.0421208331680406
O+,283260,Samarpit Bahuddeshiya Sevabhavi Sanshta Tarpan Blood Centre,18014,Bombay Hospital Trust Blood Centre,117.7061039379861,15,5,5,0.0421208331680406
O+,18084,Chakan Blood Centre,18014,Bombay Hospital Trust Blood Centre,117.7061039379861,57,5,5,0.0421208331680406
O+,282733,Rotary Blood Centre,18014,Bombay Hospital Trust Blood Centre,117.7061039379861,18,5,5,0.0421208331680406
O+,282601,Symbiosis University Hospital And Research Center Blood Centre Of Symbiosis  Trust,18014,Bombay Hospital Trust Blood Centre,117.7061039379861,79,5,5,0.0421208331680406
O+,283207,Muktai Blood Centre Of Shivpooja Bahuudeshiya Shikhan Prasarak Mandal Solapur,18014,Bombay Hospital Trust Blood Centre,117.7061039379861,64,5,5,0.0421208331680406
O+,18080,Konkan Mitra Mandal Medical TrustS Sahyadri Speaciality Hospital Blood Centre,27107,TATA MEMORIAL CENTRE-ACTREC,117.70784368052756,50,5,5,0.04212021585916638
O+,27120,Sasoon Blood Centre Pune,280738,Superitendent Gokuldas Tejpal Hospital,117.80323514541726,7,5,5,0.042086395996539246
O+,18069,Jankalyan Raktapedhi Pune,18009,Bombay Red Cross Blood Centre,117.8033734823935,299,5,5,0.04208634699031499
O+,18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood  Centre",18275,Shri Gajanan Blood Centre And Components,117.81129587203328,6,5,5,0.04208354065412511
O+,18037,Deepak Foundations Anviksha Blood Centre,283795,Autus Blood Centre,117.8491977722429,34,5,5,0.04207011989750043
O+,18116,Rajashri Chatrapati Shahu Maharaj Govt. Medical College And Chatrapati  Pramilaraje  General  Hospita,27109,District General Hospital Blood Bank Satara,117.86374065628526,66,5,5,0.042064972651822824
O+,284529,Spandan Blood Centre,18017,Masina Hospital Blood Centre,117.86925504218141,18,5,5,0.04206302124317783
O+,18187,Chhatrapati Shivaji Maharaj Hospital Blood Centre Csm,283795,Autus Blood Centre,117.90624497594102,13,5,5,0.04204993607368291
O+,18176,"Late. Dr. G.M. Bhavsar Charitable TrustS,Malegaon Blood Centre",18158,Indian Red Cross Society Sanchalit Askaran Tarachand Jain Blood Centre,117.92324991371451,79,5,5,0.04204392331716279
