hospital_code,blood_bank_name,district,area,city
18286,Jeevan Jyoti Blood Centre And Component,Nagpur,Laxmi Nagar,Nagpur
18045,"Dr. L. H. Hiranandani Hospital, Blood Centre",Mumbai,Powai,Mumbai
18166,Ashirwad Medical Foundations Gsk Blood Centre And Components,Nagpur,Besides Gurudwara,Nagpur
18287,Ayush Blood Centre And Component Lab Ramdaspeth Nagpur,Nagpur,Dhantoli,Nagpur
18167,Seva Blood Centre,Nashik,Soygaon,MALEGAON
18288,Lifeline Blood Centre Nagpur,Nagpur,Central Bazar Road,Nagpur
18160,Jeevan Surabhi Blood Centre,Jalgaon,Jalgaon,Chalisgaon
18040,Sant Nirankari Blood Centre,Mumbai Suburban,Western Express Hig,Vile Parle
18161,Indian Red Cross Society Blood Centre Jalgaon,Jalgaon,Opp.B.J.Market,Jalgaon
18162,Godavari FoundationS Dr.Ulhas Patil Medical College And Hospital Blood Centre,Jalgaon,Jalgaon Khurd,Jalgaon
18283,Dr. Hegdewar Blood Centre,Nagpur,Laxmibhuvan Square,Nagpur
18284,"Nkp Salve Inst.Of Med.Sci. And Res.Center.Lata Mangeshkar Hosp, Blood Centre",Nagpur,Hingna,Nagpur
18042,"Matoshri Valbai Mulji Shah, Arpan Blood Centre",Mumbai,Janta Markat,Mumbai
280536,Apollo Hospital Charitable Trusts' Apollo Hospital Blood Centre,Raigarh,Belapur,Navi Mumbai
280537,M/S. Sri. Bhagwant Blood Centre,Solapur,Near Kurduwadi Naka,Solapur
280535,Jupiter Lifeline Hospital Blood Centre,Pune,Near Prathmesh Park,Pune
280770,Jeevan Adhar Blood Centre Nanded,Nanded,To Ayurvedic College,Nanded
280768,Sanjeevani Blood Centre Bhosari,Pune,Mahalaxmi,Bhosari
280765,Sspm Medical College Lifetime Hospital Blood Centre,Sindhudurg,Sindhudurg,Kudal
280766,Smt.Devakabai Kalyanji Cheddha Blood Centre,Palghar,Palghar,Palgarh
280520,Mgm Medical College And Hospital Blood Centre,Aurangabad,Cidco,Aurangabad
280516,"Sadguru Gajanan Maharaj Education Society, Paramedical Inst., Revneel Blood Centre",Solapur,Mahalaxmi,Sangola
280757,Nh Srcc ChildrenS Hospital Blood Centre,Mumbai,Mahalaxmi,Mumbai
280753,Girija Blood Centre,Pune,Baramati,Baramati
283609,Aiims Nagpur Blood Center,Nagpur,Aiims Nagpur,Nagpur
280696,Shaswat Blood Centre Sangli,Sangli,Miraj,Miraj
283840,"Radhai Blood Centre, Components Laboratory And Apheresis Centre, Udgir, Dist. Latur",Latur,Milkat No,UDGIR
280694,Medicare Blood Centre,Yavatmal,Yavatmal,Pusad
280692,Pune Blood Centre,Pune,Hadapsar,Pune
284803,"Hinjewadi Blood Centre, Hinjewadi, Tal. Mulshi, Dist. Pune",Pune,Om Plaza,Pune
284921,M/S. AsplS Csmss Medical College And Hospital Blood Centre,Aurangabad,M/S. Aspls Csmss Medical College And Hospital Blood Centre,Aurangabad
282741,"Jeevandai Blood Centre, Components And Apheresis Centre Beed",Bid,Barshi,Beed
284915,Yogeshwari Blood Centre,Bid,House No,Beed
282735,Sahyaadrie Blood Centre Osmanabad,Osmanabad,Kakde Plot,Osmanabad
282733,Rotary Blood Centre,Pune,Daund,Pune
282612,Red Plus Blood Center Jalgaon,Jalgaon,College Road,Jalgaon
280674,Pandharpur Blood Centre,Solapur,Pandharpur,Pandharpur
282601,Symbiosis University Hospital And Research Center Blood Centre Of Symbiosis Trust,Pune,Mulshi,Pune
280662,Mimer Medical College And Garware Blood Centre,Pune,Talegaon Dabhade,Pune
27128,Patangshah Cottage Hospital Blood Centre Jawhar Palghar,Palghar,Palghar,Jawhar
27129,"Dean, Govt. Medical College Hospital Blood Centre Akola",Akola,Dist.Gen Hospital Comp. Z.P.Road,Akola
27126,Civil Hospital Sindhudurg,Sindhudurg,Sindhudurg,Kudal
27127,"Blood Centre, Govt.Medical College, General Hospital Latur",Latur,Gandhi Chowk,Latur
27120,Sasoon Blood Centre Pune,Pune,Opp.Ambedkar Chawk,Pune
27121,"Government Medical College And Hospital ,Blood Centre, Miraj",Sangli,Pandharpur Rd,Miraj
280138,Irrapanna N Bolli Blood Centre,Solapur,Bhavani Peth,Solapur
27124,"Central Hospital Blood Centre, Ulhasnagar, Thane",Thane,Ulhasnagar,ulhasnagar
27122,Indira Gandhi Medical College & Hospital Nagpur,Nagpur,Central Avenue,Nagpur
27123,Civil Hospital Washim,Washim,Near Akola Naka,Washim
280132,Prakash Blood Centre And Blood Component Seperation Unit,Sangli,Islampur,Uran Islampur
280133,"S. S.Venutai Y. Chavan Sub-District Hospital, Blood Centre Karad",Satara,Budhwar Peth,Karad
280130,"Indian Red Cross Society, Dr. Shirgaonkar Blood Centre",Sangli,Red Cross Chowk,Sangli
280131,"Padma Bhushan Vasantdada Patil (Civil Surgeon), Govt. General Hospital Blood Centre, Sangli",Sangli,Govt. Genera,Sangli
282670,Pimpri Chinchwad Municipal CorporationS Y.C.M. Hospital Blood Centre,Pune,Chinchwad,Pune
27131,Dr.Shankarrao Chavan Government Medical College And Hospital Blood Centre Nanded,Nanded,Vishnupuri,Nanded
282668,Lokmanya Blood Centre,Aurangabad,Adalat Road,Aurangabad
27130,"Medical Supritentent Sub-District (Rural) Hospital Blood Centre, Gadchiroli Aheri",Gadchiroli,Gadchiroli,Aheri
280128,M/S Navi Mumbai Blood Centre,Raigarh,Kharghar,Kharghar
280125,Red Plus Blood Centre Pune,Pune,Pmt B,Pune
284844,"Civil Hospital Palghar Blood Centre, Palghar",Palghar,St Fl,Palghar
280126,Morya Blood Centre,Pune,Midc,Chinchwad
280123,M/S Vidyashree Charitable Trusts Om Blood Centre,Pune,Mangalwar P,Pune
27133,Daga Memorial Women Govt. Hospital Blood Centre Nagpr,Nagpur,Gandhibag,Nagpur
284843,"Government Medical College And General Hospital Blood Centre, Baramati, District Pune",Pune,Midc Area,Baramati
280124,M/S Pimpri Chinchwad Blood Centre,Pune,Mhada Commercial Complex,Pimpri
284721,"Kranti Mitra Mandal Public Charitable Trusts, Om Blood Centre, Shirur.",Pune,Shirur,Shirur
284720,"Dr. D.Y. Patil Medical College Hospital And Research Centre Blood Centre, Pimpri, Pune.",Pune,Pimpri,Pimpri
284961,"Wagholi Blood Centre, Wagholi,Pune",Pune,Wagholi,Pune
280120,Shree Swami Samarth Blood Centre,Ratnagiri,Shree Kshetra,Ratnagiri
27107,TATA MEMORIAL CENTRE-ACTREC,Mumbai,Parel,Mumbai
27104,Sanjeevani Blood Centre,Aurangabad,Jawahar,Aurangabad
27105,Indian Red Cross Society Blood Bank Ratnagiri,Ratnagiri,Nagarparishad Compound,Ratnagiri
27108,Jankalyan Blood Center,Nandurbar,Desaipura,Nandurbar
27109,District General Hospital Blood Bank Satara,Satara,Sadar,Satara
284835,"Shaurya Blood Centre, Blood Component And Apheresis Centre, Ahmedpur, Dist. Latur",Latur,Redd,Ahmedpur
27117,"Blood Bank Civil Hospital, Bhandara",Bhandara,General Hospital Blood Bank,Bhandara
27118,"Blood Bank Civil Hospital, Ratnagiri",Ratnagiri,Districhospital Ratnagiri,Ratnagiri
27115,"Blood Bank Civil Hospital, Beed",Bid,Barshi,Beed
27116,"Blood Bank Civil Hospital, Alibag",Raigarh,Alibag,Alibag
27119,"Blood Bank Civil Hospital, Solapur",Solapur,Rasta Peth,Solapur
284946,Keshari Blood Centre,Thane,Near,Thane
27113,"Blood Bank Civil Hospital, Chandrapura",Chandrapur,Near Chota Bazar,Chandrapur
27114,"Blood Bank Civil Hospital, Amravati",Amravati,Dr. Babasaheb Ambedkar Chowk Dist,Amravati
27111,Shwas foundation kavathemahankal trust sanchalit maha blood centre and comprehensive thalassemia day,Pune,Saswad,Pune
283208,Support Multipurpose Society Aadhar Blood Centre,Ahmadnagar,Opposite Dhanwantari M,Sangamner
283207,Muktai Blood Centre Of Shivpooja Bahuudeshiya Shikhan Prasarak Mandal Solapur,Pune,S No,Pune
282598,Dnyandeep Blood Center Of Modern Institute Of Technology,Solapur,Natepute,Natepute
282599,Dean Datta Meghe Medical Collecge M.S.Dattatraya Blood Centre,Nagpur,Hingana,Nagpur
284529,Spandan Blood Centre,Pune,Pune,Pune
284765,"Shree Sainath Blood Centre, Sinnar, Tal. Sinnar, Dist. Nashik",Nashik,Udyog B,Sinnar
284764,"Blood Centre And Component Separation Unit, Sub-District Hospital, Dharni, District Amravati",Amravati,Dharni,Dharni
282586,"Varad Charitable And Medical Trust, Balaji Blood Centre, Satara",Satara,Behind,Satara
283795,Autus Blood Centre,Pune,Dehu Road,Pune
284763,"Balaji Blood Centre, Lonand, Khandala Taluk, Dist. Satara",Satara,Sata,Lonand
284762,"Maya Blood Centre, Badlapur (W), Tal. Ambernath, Dist.Thane",Thane,Badlapur,Badlapur (W)
283310,Renuka Blood Centre Component And Apheresis Centre,Osmanabad,Osmanabad,Osmanabad
283307,Sant Jagnnath Maharaj Anjalekar Bahuuudeshiya Sansthas Sanjivani Blood Centre,Jalgaon,Jalgaon,Faizpur
283306,Jalna Blood Centre Components And Apheresis Centre,Jalna,Panna Chamber,Jalna
283305,Surabhi Hospital Pvt.Ltd. Surabhi Blood Centre,Ahmadnagar,Kavijung Naga,Ahmednagar
284514,M/S . Ideal Foundations Ideal Blood Centre,Palghar,Palghar,Wada
282577,"Welfare And Educational Trust Of Nmrcw, Chemist Blood Centre",Thane,Chemist Bhavan,Thane
284510,"Saiseva Blood Cantre, Blood Components And Apheresis Centre",Ahmadnagar,sarjepura,Ahmednagar
282570,Sankalp Blood Centre,Thane,Thane,Thane
282571,"Shri Manoharpant Sapate Bahuuddeshiya Samajseva Sansthan TrustS, M/S. Medicare Blood Centre",Solapur,Solapur,Solapur
284509,Sankalp Blood Centre,Satara,Satara,Satara
284508,Dr.Rajendra Gode Blood Centre And Component Lab,Amravati,Amravati,Amravati
280149,Advanced Centre For Treatment Reasearch And Education In Cancer,Raigarh,Kharghar,Panvel
280147,"Ocean Bahuuddeshiy Sanstha, M/S Ekneel Blood Centre",Yavatmal,Yavatmal,Pusad
280148,"M/S Adhar Blood Centre, Ichalkaranji",Kolhapur,Ichalkaranji,Kolhapur
282568,Vbss Sanchalit Latur Blood Centre And Components Latur,Latur,Old Renapur,LATUR
280145,Terna Blood Centre,Thane,Nerul,Thane
282565,"Sathiya Educational SocietyS Sathiya Trust Blood Centre, Nalasopara, Palghar",Palghar,Palghar,Nalasopara
280146,Blood Centre Shri Vasantrao Naik Govt. Medical College And Hospital,Yavatmal,Waghapur Road,Yavatmal
284864,"Sahyaadrie Blood Centre, Midc Waluj Industrial Area, Vadgaon Kolhati, Chh. Sambhajinagar.",Aurangabad,Waluj,Aurangabad
280143,Triumph Foundations Triumph Blood Center,Thane,Thane West,Thane
282564,M/S Aman Blood Centre Gandhibag Nagpur,Nagpur,Chota Loharpura Masjid,Nagpur
280141,Mallikarjun Blood Centre,Solapur,Sadar,Solapur
284861,"Indian Red Cross Society Bel Air Blood Centre, Wai, Dist. Satara",Satara,Wai,Wai
280142,"Maharashtra Bloodbank, Component And Apheresis Center",Palghar,Navli Railway Phatak,PALGHAR
282683,"Mgm Blood Centre , Kamothe",Raigarh,Kamothe,Raigarh
282562,Kokilaben Dhirubhai Ambani Hospital Navi Mumbai Blood Centre,Thane,Kopar Khairane,Thane
280140,"M.M.Patel Public Charitable Trust, Ashwini Rural Medical College And Hospital Blood Centre",Solapur,South Solapur,Solapur
18255,"Dr. P.D.M.H.C. Hospital And Research Centre, Blood Bank",Amravati,Shivaji Nagar,Amravati
283288,Vidyashree Charitable Trust Shiv Shambho Blood Bank,Solapur,Solapur,Solapur
18110,"Indian Red Cross Society , Sarjubai, Bansila Bajaj Blood Centre",Solapur,Pandharpur,Pandharpur
18133,M/S Nanded Blood Centre,Nanded,Shivaji Nagar,Nanded
18191,Blood Line Charitable Blood Centre,Thane,Thane West,Thane
18233,Pallavi Blood Centre Govandi East,Mumbai,Govandi East,Mumbai
27177,Warud Blood Centre Tal Warud Dis Amravati,Amravati,Warud,Warud
27178,Shri Balaji Blood Centre component Lab Apheresis,Amravati,Achalpur,Achalpur
27179,Shree Mangalmurti Blood Centre Component and Apheresis,Hingoli,Hingoli,Hingoli
280144,M/S Sadgurus Charitable Blood Centre,Thane,Kopar Khairane,Navi Mumbai
280735,Jagjivan Ram Hospital (Western Railway) Blood Centre,Mumbai,Mumbai Central,Mumbai
283250,Ms.Sanjeevani Blood Centre,Latur,Latur,Latur
284919,Mumbadevi Blood And Thalassemia Day Care Centre,Thane,Vashi,Navi Mumbai
