district,blood_group,observations,blood_banks,average_stock,median_stock,stockout_percentage,low_stock_percentage,stock_volatility,recovery_rate,stockout_percentage_score,low_stock_percentage_score,stock_volatility_score,recovery_weakness_score,hotspot_score,hotspot_class
Nashik,B-,399,20,1.9523809523809523,1.0,48.62155388471178,40.6015037593985,1.623371833394511,24.152116402116402,82.85714285714286,61.07142857142858,84.64285714285714,62.857142857142854,72.85714285714286,High
Palghar,A-,214,11,1.3364485981308412,0.0,50.467289719626166,49.532710280373834,1.2036710112690086,12.003968253968253,84.28571428571429,71.78571428571429,62.857142857142854,81.42857142857143,75.08928571428572,High
Palghar,AB-,214,11,0.2523364485981308,0.0,78.97196261682244,21.02803738317757,2.0697706677996845,12.36111111111111,97.14285714285714,42.5,93.57142857142857,80.35714285714286,78.39285714285714,Critical
Palghar,B-,214,11,0.8551401869158879,0.0,58.41121495327103,41.1214953271028,2.187028339070156,3.923611111111111,90.35714285714286,62.142857142857146,94.28571428571428,90.0,84.19642857142857,Critical
Palghar,O-,214,11,1.9485981308411215,1.0,46.26168224299065,44.39252336448598,1.7187621011332281,18.241129785247434,80.71428571428572,66.78571428571428,88.21428571428571,72.14285714285714,76.96428571428572,Critical
Pune,AB-,1100,55,1.5236363636363637,1.0,43.63636363636363,49.63636363636363,1.3976625560288363,33.55194322585627,79.64285714285714,72.14285714285714,76.07142857142857,48.214285714285715,69.01785714285714,High
Ratnagiri,A-,60,3,1.1666666666666667,0.0,58.333333333333336,41.66666666666667,1.320173148816905,0.0,90.0,63.92857142857142,71.07142857142857,96.25,80.3125,Critical
Sangli,A-,319,16,1.335423197492163,1.0,36.05015673981191,60.81504702194357,1.2571644404348277,35.32931354359926,70.71428571428572,86.78571428571429,66.78571428571428,46.42857142857143,67.67857142857143,High
Sangli,AB-,319,16,1.0031347962382444,1.0,49.52978056426332,49.52978056426332,1.3029938483162538,26.826923076923077,83.57142857142857,71.42857142857143,70.0,57.85714285714286,70.71428571428572,High
Satara,AB-,260,13,0.9038461538461539,0.0,58.07692307692308,41.53846153846154,1.5321217354449108,22.42979242979243,89.28571428571429,63.39285714285714,82.14285714285714,67.14285714285714,75.49107142857143,High
Satara,B-,260,13,1.9076923076923078,1.0,45.0,41.53846153846154,1.510111600096184,28.01757066462949,80.0,63.39285714285714,80.35714285714286,56.07142857142857,69.95535714285714,High
Satara,O-,260,13,2.3,1.0,36.92307692307693,48.84615384615385,1.1080232730639286,12.63640873015873,72.85714285714285,70.71428571428572,52.142857142857146,80.0,68.92857142857142,High
Sindhudurg,A-,80,4,1.25,0.0,58.75,40.0,1.365283853270081,2.5641025641025643,90.89285714285714,59.82142857142857,74.28571428571429,91.96428571428571,79.24107142857143,Critical
Sindhudurg,AB-,80,4,0.8625,0.0,76.25,23.75,1.8124056153857468,25.0,96.78571428571429,45.357142857142854,90.71428571428571,60.535714285714285,73.34821428571428,High
Sindhudurg,B-,80,4,1.925,1.0,41.25,46.25,1.1667369405945007,7.6923076923076925,77.85714285714286,68.92857142857143,59.64285714285714,85.53571428571428,72.99107142857142,High
Sindhudurg,O-,80,4,1.075,0.0,67.5,28.749999999999996,1.720144383742079,2.5641025641025643,95.35714285714286,50.71428571428571,88.57142857142857,91.96428571428571,81.65178571428571,Critical
Thane,A-,587,32,2.9778534923339013,0.0,50.76660988074957,43.441226575809196,5.273330322284313,18.830671705003258,84.64285714285714,66.07142857142857,99.28571428571429,71.07142857142857,80.26785714285714,Critical
Thane,AB-,587,32,1.453151618398637,0.0,59.28449744463373,38.33049403747871,4.981005524378219,23.765038066508655,91.78571428571428,57.14285714285714,98.92857142857143,64.64285714285715,78.125,Critical
Thane,B-,587,32,3.4940374787052813,1.0,40.88586030664395,55.195911413969334,6.362850977413205,35.96595561301444,77.5,79.64285714285714,99.64285714285714,45.0,75.44642857142857,High
Thane,O-,587,32,1.9829642248722317,1.0,41.90800681431005,47.700170357751276,1.5112863303774624,35.27894491129785,78.21428571428571,70.35714285714286,80.71428571428572,46.785714285714285,69.01785714285714,High
Wardha,A-,80,4,1.3375,1.0,40.0,60.0,0.9886684382595367,19.444444444444443,76.07142857142857,86.25,36.78571428571429,70.71428571428572,67.45535714285714,High
Wardha,AB-,80,4,0.6,0.0,58.75,41.25,1.3333333333333333,21.691176470588236,90.89285714285714,62.5,72.14285714285714,68.21428571428572,73.4375,High
Washim,A-,80,4,0.7125,0.0,72.5,27.500000000000004,1.6928688262930416,3.7037037037037037,95.71428571428572,50.0,87.14285714285714,90.35714285714286,80.80357142857143,Critical
Washim,AB+,80,4,6.55,0.0,56.25,17.5,1.6821455522271809,13.333333333333334,86.96428571428572,34.464285714285715,86.78571428571429,79.10714285714285,71.83035714285714,High
Washim,AB-,80,4,1.1375,0.0,56.25,43.75,1.3529878112493121,31.25,86.96428571428572,66.42857142857143,73.92857142857143,52.5,69.95535714285715,High
Washim,B+,80,4,19.1,3.0,40.0,26.25,1.7276614288609249,4.545454545454546,76.07142857142857,47.5,88.92857142857142,89.64285714285715,75.53571428571429,High
Washim,B-,80,4,0.425,0.0,73.75,26.25,1.960686272058701,6.785714285714286,96.07142857142857,47.5,92.5,86.78571428571429,80.71428571428571,Critical
Washim,O-,80,4,1.25,0.0,53.75,45.0,1.2165525060596438,10.185185185185185,86.07142857142858,68.03571428571429,63.92857142857142,82.5,75.13392857142858,High
