district,blood_group,observations,blood_banks,average_stock,median_stock,stockout_percentage,low_stock_percentage,stock_volatility,recovery_rate,stockout_percentage_score,low_stock_percentage_score,stock_volatility_score,recovery_weakness_score,hotspot_score,hotspot_class
Jalna,A-,120,5,4.25,3.0,17.5,58.333333333333336,1.028879414170712,5.88235294117647,38.92857142857143,83.75,38.21428571428571,90.17857142857143,62.76785714285714,Moderate
Jalna,AB+,120,5,24.975,13.0,10.0,26.666666666666668,1.1876272590988313,50.0,27.142857142857142,47.85714285714286,57.49999999999999,28.035714285714285,40.13392857142857,Lower
Jalna,AB-,120,5,1.3416666666666666,1.0,35.0,65.0,1.0779395290702722,49.80748663101604,66.96428571428571,91.42857142857143,44.642857142857146,31.785714285714285,58.70535714285714,Moderate
Jalna,B+,120,5,50.083333333333336,32.0,3.3333333333333335,16.666666666666664,0.9770937499832746,33.33333333333333,15.357142857142858,33.39285714285714,31.071428571428573,51.78571428571429,32.901785714285715,Lower
Jalna,B-,120,5,2.316666666666667,2.0,25.0,59.166666666666664,0.9874477460019401,37.1031746031746,52.142857142857146,85.0,32.142857142857146,45.0,53.57142857142857,Moderate
Jalna,O+,120,5,42.975,36.0,2.5,10.0,0.704382786558388,0.0,12.857142857142856,19.28571428571429,7.142857142857142,97.67857142857143,34.24107142857143,Lower
Jalna,O-,120,5,3.0166666666666666,2.0,35.0,50.83333333333333,1.0199170369136632,46.76190476190476,66.96428571428571,74.64285714285714,36.78571428571429,33.214285714285715,52.90178571428571,Lower
Kolhapur,A+,336,14,55.76488095238095,41.0,7.142857142857142,2.083333333333333,0.9815255028351526,52.27272727272727,23.57142857142857,5.714285714285714,31.785714285714285,23.57142857142857,21.160714285714285,Lower
Kolhapur,A-,336,14,1.6220238095238095,1.0,39.285714285714285,57.14285714285714,1.1607226909222472,23.283976124885214,71.42857142857143,82.14285714285714,54.64285714285714,68.57142857142857,69.19642857142857,High
Kolhapur,AB+,336,14,14.8125,13.0,10.714285714285714,17.559523809523807,0.787432344370263,61.3095238095238,28.214285714285715,34.285714285714285,11.785714285714285,18.571428571428573,23.21428571428571,Lower
Kolhapur,AB-,336,14,0.8244047619047619,1.0,45.83333333333333,54.166666666666664,1.1738071596539368,38.15826330532213,79.46428571428571,77.85714285714286,56.42857142857143,42.857142857142854,64.15178571428571,Moderate
Kolhapur,B+,336,14,48.30952380952381,39.0,3.571428571428571,7.738095238095238,0.8882893227248624,55.0,15.892857142857142,14.642857142857144,19.642857142857142,20.714285714285715,17.723214285714285,Lower
Kolhapur,B-,336,14,2.5208333333333335,1.0,27.67857142857143,55.952380952380956,1.0842026695634521,32.20238095238095,57.14285714285714,80.35714285714286,45.714285714285715,53.92857142857142,59.285714285714285,Moderate
Kolhapur,O+,336,14,62.38095238095238,53.0,4.166666666666666,4.464285714285714,0.783446479638313,50.0,18.035714285714285,8.928571428571429,11.428571428571429,28.035714285714285,16.607142857142858,Lower
Kolhapur,O-,336,14,2.205357142857143,2.0,32.44047619047619,58.92857142857143,1.160498850587387,25.951631701631698,62.857142857142854,84.64285714285714,53.92857142857142,63.21428571428571,66.16071428571428,Moderate
Latur,A+,219,10,505.662100456621,57.0,0.45662100456621,9.1324200913242,1.9479104388782367,100.0,6.607142857142858,16.428571428571427,90.35714285714286,5.892857142857142,29.82142857142857,Lower
Latur,A-,219,10,33.666666666666664,6.0,26.94063926940639,20.54794520547945,2.1009142547759025,59.1358024691358,55.00000000000001,39.285714285714285,92.5,19.642857142857142,51.607142857142854,Lower
Latur,AB+,219,10,264.42009132420094,21.0,4.10958904109589,13.24200913242009,2.052066340849536,49.99999999999999,17.5,26.071428571428573,91.07142857142857,31.428571428571427,41.51785714285714,Lower
Latur,AB-,219,10,12.60730593607306,1.0,42.00913242009132,35.61643835616438,2.36353540848185,39.3377283573362,76.42857142857142,55.714285714285715,94.28571428571428,41.07142857142857,66.875,Moderate
